date,country,sector,sector_label,ticker,tariff_sensitivity,open,high,low,close,volume,daily_return_pct,weekly_return_pct,indexed_to_100,volatility_10d
2024-11-06,USA,Semiconductors,Semiconductors (USA),SOXX,High,224.28213709185934,227.06634037850438,222.25095196969403,226.24395751953125,3644000,2.9161173676766516,0.5592872646291713,421.70003533098316,2.261537646821372
2024-11-07,USA,Semiconductors,Semiconductors (USA),SOXX,High,229.70193501243506,231.2674333303833,229.1966219634739,230.9602813720703,3154600,2.084618702858365,6.799239517702671,430.49087313745315,2.3440764780195504
2024-11-08,USA,Semiconductors,Semiconductors (USA),SOXX,High,229.70192342709845,231.04943994175318,228.0274343259406,229.23623657226562,1769200,-0.7464680894752163,4.887108595726364,427.27739614137886,2.349169161990227
2024-11-11,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.076237174777,227.076237174777,220.73499195966278,223.4993896484375,4250400,-2.502591653749997,2.854396616811683,416.58438768718435,2.489844781486378
2024-11-12,USA,Semiconductors,Semiconductors (USA),SOXX,High,222.7166497629551,223.08324854121008,218.12914561896494,221.06198120117188,3259700,-1.0905660418579433,0.5588880793286677,412.0412598193861,2.3233109386065824
2024-11-13,USA,Semiconductors,Semiconductors (USA),SOXX,High,219.46673619546678,220.0909579355032,215.9691411125491,216.36546325683594,3057500,-2.1245254017976056,-4.366301920723126,403.2873385886363,2.157393818257305
2024-11-14,USA,Semiconductors,Semiconductors (USA),SOXX,High,218.4759280442958,219.3379370720579,215.8403417917762,216.23667907714844,2523600,-0.059521597277578664,-6.3749499296818835,403.0472955230902,1.7700674123567772
2024-11-15,USA,Semiconductors,Semiconductors (USA),SOXX,High,212.6003517836855,213.6902452103765,208.65687549663042,209.2711944580078,4748200,-3.2212317766198706,-8.70937440467181,390.0642079648934,1.9922626712046108
2024-11-18,USA,Semiconductors,Semiconductors (USA),SOXX,High,209.21173765678137,212.36255463516105,208.31010251300063,211.97613525390625,2422300,1.2925528536805952,-5.155832601000487,395.10599401613024,2.0619251510533108
2024-11-19,USA,Semiconductors,Semiconductors (USA),SOXX,High,211.37175927290062,212.838169519754,210.51965295674478,212.3824005126953,2363400,0.19165613067830822,-3.926310911227171,395.8632388763396,2.0109993657152807
2024-11-20,USA,Semiconductors,Semiconductors (USA),SOXX,High,211.11415757718052,211.71854364374494,207.72553773919398,210.75746154785156,3995000,-0.7651005737392191,-2.5919116778482354,392.83448696447414,1.6574224831394655
2024-11-21,USA,Semiconductors,Semiconductors (USA),SOXX,High,213.07595267115306,215.26565752120388,208.96403850326033,214.09649658203125,4245400,1.5843021687854009,-0.9897407342043141,399.0581722611893,1.5694384339723608
2024-11-22,USA,Semiconductors,Semiconductors (USA),SOXX,High,213.6407146382368,214.71080260884327,212.59044731117524,214.1856689453125,2672600,0.04165054762914622,2.348375991274243,399.224382175295,1.588975772911192
2024-11-25,USA,Semiconductors,Semiconductors (USA),SOXX,High,216.95999005061697,218.27778327537055,214.88917860545675,216.2763214111328,2787700,0.9760935342289834,2.028618057441123,403.12118555677375,1.5214125108143195
